Title,Precio_USD,Fecha_de_publicacion,Visualizaciones,Dimension_terreno,Dimension_propiedad,Ambientes,Banos,Dormitorios,Tipo,Años_antiguedad,Operacion,Zona,Zona2,Superdestacado
PH · 230m² · 10 Ambientes,160000,2023-08-24T16:26:58.000Z,67,270,230,10,3,6,PH,"30
años",Venta,Capital Federal,Flores,superdestacado
Departamento · 101m² · 4 Ambientes,270000,5/12/23,0,107,101,4,2,3,Departamento,"30
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 280m² · 8 Ambientes,400000,2023-06-26T03:06:12.000Z,0,340,280,8,4,5,Departamento,"85
años",Venta,Capital Federal,Balvanera,simple
PH · 53m² · 2 Ambientes,150000,3/4/23,0,75,53,2,2,1,PH,"8
años",Venta,Capital Federal,Belgrano,simple
Local comercial · 460m² · 1 Ambiente,3000000,2023-05-29T19:01:18.000Z,18,460,460,1,0,0,Local Comercial,"50
años",Venta,Capital Federal,Centro / Microcentro,superdestacado
Departamento · 53m² · 2 Ambientes,700,4/5/23,0,57,53,2,1,1,Departamento,"19
años",Alquiler,Capital Federal,Recoleta,simple
,104000,5/21/22,0,34,27,1,1,0,Departamento,"5
años",Venta,Capital Federal,Belgrano,simple
,111300,12/15/22,25,53,42,2,1,0,Departamento,En construccion,Venta,Capital Federal,Villa Crespo,superdestacado
,100000,4/12/23,47,90,75,3,2,2,Departamento,"18
años",Venta,Capital Federal,Parque Avellaneda,superdestacado
Oficina comercial · 100m² · 5 Ambientes,98500,10/14/22,0,100,100,5,2,4,Local Comercial,"40
años",Venta,Capital Federal,Tribunales,simple
Departamento · 212m² · 5 Ambientes · 1 Cochera,315000,9/1/23,94,221,212,5,4,4,Departamento,"40
años",Venta,Capital Federal,Belgrano,superdestacado
Departamento · 172m² · 5 Ambientes · 2 Cocheras,444999,5/2/23,0,188,172,5,4,3,Departamento,"35
años",Venta,Capital Federal,Barrio Norte,superdestacado
PH · 76m² · 3 Ambientes,110000,2023-04-02T10:55:21.000Z,732,75,76,3,1,2,PH,"45
años",Venta,Capital Federal,Núñez,superdestacado
Casa · 135m² · 4 Ambientes · 1 Cochera,235000,2023-07-05T21:51:33.000Z,39,200,135,4,2,3,Casa,"7
años",Venta,Capital Federal,Monte Castro,simple
Oficina comercial · 76m² · 3 Ambientes,1000,8/5/23,0,79,76,3,1,2,Local Comercial,"33
años",Alquiler,Capital Federal,Núñez,simple
,240000,11/30/20,65,130,130,4,2,3,Departamento,"80
años",Venta,Capital Federal,Recoleta,simple
,132000,12/6/21,0,57,55,2,2,1,Departamento,En construccion,Venta,Capital Federal,Caballito,simple
,1300,3/13/19,36,120,100,3,2,2,Departamento,"15
años",Alquiler Temporal,Capital Federal,Belgrano,simple
,232000,12/7/21,24,130,65,3,1,2,Departamento,"25
años",Venta,Capital Federal,Caballito,destacado
Departamento · 160m² · 4 Ambientes,3100,2023-05-23T17:47:44.000Z,21,165,160,4,3,3,Departamento,0 años,Alquiler,Capital Federal,Recoleta,simple
Oficina comercial · 42m² · 3 Ambientes,123,7/13/23,46,54,42,3,1,0,Local Comercial,"40
años",Alquiler,Capital Federal,Centro / Microcentro,simple
Local comercial · 62m²,0,2023-01-18T16:55:45.000Z,0,62,62,0,2,0,Local Comercial,"50
años",Alquiler,Capital Federal,Centro / Microcentro,simple
Departamento · 63m² · 3 Ambientes,100000,2023-05-09T12:03:03.000Z,18,63,63,3,1,2,Departamento,"42
años",Venta,Capital Federal,Barracas,simple
Departamento · 165m² · 4 Ambientes · 1 Cochera,1500,9/5/23,0,180,165,4,2,3,Departamento,"50
años",Alquiler Temporal,Capital Federal,Barrio Norte,simple
,95000,11/4/22,0,42,34,1,1,0,Departamento,"6
años",Venta,Capital Federal,Flores,simple
,210000,2/24/23,146,177,0,5,1,3,PH,"15
años",Venta,Capital Federal,Villa Pueyrredón,destacado
,85000,4/21/23,25,70,63,3,1,3,Departamento,"40
años",Venta,Capital Federal,Floresta,simple
,189000,8/23/22,100,121,112,4,2,3,Departamento,"45
años",Venta,Capital Federal,Belgrano,simple
,108000,10/13/21,0,74,68,3,1,2,Departamento,"30
años",Venta,Capital Federal,Villa Luro,simple
,165000,12/4/20,0,100,85,3,1,2,Departamento,"8
años",Venta,Capital Federal,Mataderos,simple
,360000,9/6/22,0,104,104,6,2,0,Local Comercial,"30
años",Venta,Capital Federal,Belgrano,simple
,630000,3/29/23,89,197,176,5,2,3,Departamento,"30
años",Venta,Capital Federal,Palermo,simple
,620000,4/11/23,59,198,198,5,2,3,Departamento,"30
años",Venta,Capital Federal,Palermo,superdestacado
,370000,4/26/22,0,250,180,5,0,4,PH,"10
años",Venta,Capital Federal,Villa del Parque,simple
Oficina comercial · 31m²,52500,2019-04-01T21:09:56.000Z,0,31,31,0,1,0,Local Comercial,"30
años",Venta,Capital Federal,Tribunales,simple
Departamento · 62m² · 4 Ambientes,600,4/14/23,0,64,62,4,1,3,Departamento,"56
años",Alquiler Temporal,Capital Federal,Caballito,simple
PH · 66m² · 3 Ambientes,95000,2023-04-15T16:03:37.000Z,126,66,66,3,1,2,PH,"80
años",Venta,Capital Federal,Palermo,simple
Departamento · 21m² · 1 Ambiente,500,2023-06-28T13:04:02.000Z,0,21,21,1,1,0,Departamento,"45
años",Alquiler Temporal,Capital Federal,Palermo,simple
,17000,6/28/22,22,12,12,0,0,0,Cochera,0 años,Venta,Capital Federal,Belgrano,superdestacado
,86000,6/17/20,0,33,27,1,1,0,Departamento,0 años,Venta,Capital Federal,Palermo,simple
,269000,12/10/21,31,152,115,5,3,4,Departamento,,Venta,Capital Federal,Caballito,superdestacado
,90000,5/20/23,157,55,55,3,1,2,Departamento,"44
años",Venta,Capital Federal,Caballito,simple
Departamento · 135m² · 4 Ambientes · 1 Cochera,220000,2023-09-01T15:43:36.000Z,59,141,135,4,2,3,Departamento,"60
años",Venta,Capital Federal,Caballito,simple
Departamento · 36m² · 1 Ambiente,106000,2023-04-08T13:36:06.000Z,0,41,36,1,1,0,Departamento,0 años,Venta,Capital Federal,Villa Urquiza,superdestacado
,420000,5/17/23,166,277,225,4,5,3,Casa,"60
años",Venta,Capital Federal,Belgrano,simple
,52000,12/19/22,30,29,29,1,1,0,Departamento,"1
años",Venta,Capital Federal,Flores,destacado
Departamento · 35m² · 2 Ambientes,500,2023-02-25T13:51:01.000Z,103,35,35,2,0,1,Departamento,,Alquiler Temporal,Capital Federal,Palermo,superdestacado
Departamento · 96m² · 4 Ambientes,184011,2022-10-18T20:28:32.000Z,169,103,96,4,1,2,Departamento,"55
años",Venta,Capital Federal,Recoleta,destacado
Oficina comercial · 481m² · 5 Cocheras,9620,2021-01-13T20:59:58.000Z,0,481,481,0,2,0,Local Comercial,"23
años",Alquiler,Capital Federal,Puerto Madero,simple
PH · 53m² · 3 Ambientes,48000,6/17/20,0,53,53,3,1,2,PH,"70
años",Venta,Capital Federal,La Boca,simple
Departamento · 110m² · 3 Ambientes,900,2023-08-25T13:13:16.000Z,145,120,110,3,1,2,Departamento,"35
años",Alquiler,Capital Federal,Almagro,superdestacado
Departamento · 60m² · 3 Ambientes,129000,7/15/21,0,60,60,3,1,2,Departamento,"40
años",Venta,Capital Federal,Centro / Microcentro,simple
Departamento · 53m² · 3 Ambientes,97900,9/1/23,0,56,53,3,1,2,Departamento,"50
años",Venta,Capital Federal,Villa Crespo,simple
PH · 111m² · 4 Ambientes,299000,7/28/22,0,136,111,4,3,3,PH,0 años,Venta,Capital Federal,Colegiales,superdestacado
Oficina comercial · 509m² · 1 Ambiente · 4 Cocheras,8500,4/23/23,0,509,509,1,5,0,Local Comercial,0 años,Alquiler,Capital Federal,Palermo,superdestacado
Torre Blvd + Obra Finalizada,564000,1/17/23,0,156,135,4,2,0,Desarrollos inmobiliarios en venta,,Venta,Capital Federal,Villa Luro,superdestacado
Departamento · 37m² · 2 Ambientes,89000,2023-09-04T17:09:23.000Z,0,44,37,2,1,1,Departamento,0 años,Venta,Capital Federal,Saavedra,simple
Departamento · 35m² · 1 Ambiente,48500,2023-07-25T19:37:26.000Z,208,35,35,1,1,1,Departamento,"25
años",Venta,Capital Federal,Floresta,free
Departamento · 36m² · 1 Ambiente,91898,2022-05-27T19:08:11.000Z,0,50,36,1,1,0,Departamento,En construccion,Venta,Capital Federal,Retiro,simple
Departamento · 80m² · 3 Ambientes,180000,2022-10-03T19:08:09.000Z,175,83,80,3,1,2,Departamento,"50
años",Venta,Capital Federal,Palermo,destacado
Departamento · 38m² · 1 Ambiente,114500,3/25/22,0,51,38,1,1,1,Departamento,0 años,Venta,Capital Federal,Belgrano,simple
Departamento · 102m²,340000,3/23/23,0,102,102,0,0,0,Departamento,0 años,Venta,Capital Federal,Recoleta,superdestacado
Departamento · 43m² · 1 Ambiente,96400,2022-05-30T18:26:01.000Z,0,43,43,1,1,0,Departamento,0 años,Venta,Capital Federal,Belgrano,simple
Departamento · 39m² · 2 Ambientes,115000,2023-03-30T19:19:56.000Z,0,63,39,2,1,1,Departamento,0 años,Venta,Capital Federal,Villa Luro,simple
Departamento · 593m² · 7 Ambientes · 5 Cocheras,0,2023-02-14T16:23:53.000Z,0,679,593,7,8,6,Departamento,"2
años",Venta,Capital Federal,Palermo,simple
Departamento · 65m² · 3 Ambientes,279,12/2/22,0,65,65,3,1,2,Departamento,0 años,Alquiler Temporal,Capital Federal,Almagro,simple
Departamento · 49m² · 2 Ambientes,140000,9/8/21,0,54,49,2,1,1,Departamento,"10
años",Venta,Capital Federal,Villa Urquiza,simple
Departamento · 90m² · 3 Ambientes,279000,2023-04-13T14:54:46.000Z,0,129,90,3,2,2,Departamento,0 años,Venta,Capital Federal,Caballito,destacado
Departamento · 426m² · 9 Ambientes · 1 Cochera,990000,2023-02-17T19:35:58.000Z,138,433,426,9,3,4,Departamento,"99
años",Venta,Capital Federal,Recoleta,superdestacado
Departamento · 36m² · 2 Ambientes,45000,2019-11-06T00:33:37.000Z,147,36,36,2,1,1,Departamento,"30
años",Venta,Capital Federal,Almagro,simple
Departamento · 235m² · 4 Ambientes · 2 Cocheras,930000,2021-11-05T14:26:03.000Z,0,235,235,4,2,3,Departamento,"30
años",Venta,Capital Federal,Belgrano,simple
Departamento · 28m² · 1 Ambiente,165,2023-08-08T17:00:04.000Z,803,28,28,1,1,1,Departamento,"20
años",Alquiler,Capital Federal,Retiro,simple
Departamento · 271m² · 5 Ambientes · 1 Cochera,5500,5/11/23,0,274,271,5,4,4,Departamento,"40
años",Alquiler,Capital Federal,Recoleta,superdestacado
Departamento · 130m² · 3 Ambientes · 1 Cochera,1900,5/4/23,0,230,130,3,0,2,Departamento,"30
años",Alquiler Temporal,Capital Federal,Palermo,simple
Departamento · 57m² · 2 Ambientes,137000,5/30/22,0,60,57,2,1,1,Departamento,"15
años",Venta,Capital Federal,Palermo,simple
Casa · 450m² · 5 Ambientes · 4 Cocheras,1250000,2023-04-27T13:15:03.000Z,0,550,450,5,3,4,Casa,"30
años",Venta,Capital Federal,Belgrano,simple
Departamento · 168m² · 4 Ambientes,2800,2022-08-28T23:05:19.000Z,25,170,168,4,2,3,Departamento,"73
años",Alquiler,Capital Federal,Recoleta,simple
Departamento · 32m² · 1 Ambiente,65000,7/20/22,0,35,32,1,1,0,Departamento,0 años,Venta,Capital Federal,Almagro,superdestacado
Departamento · 40m² · 1 Ambiente,48000,5/19/23,0,42,40,1,1,0,Departamento,"50
años",Venta,Capital Federal,Abasto,simple
Departamento · 64m² · 3 Ambientes,145000,2023-07-18T21:06:43.000Z,0,71,64,3,2,2,Departamento,"45
años",Venta,Capital Federal,Almagro,simple
Departamento · 137m² · 5 Ambientes · 2 Cocheras,345000,8/30/23,25,137,137,5,4,4,Departamento,"20
años",Venta,Capital Federal,Caballito,superdestacado
Oficina comercial · 37m² · 1 Ambiente,86000,12/19/22,0,37,37,1,1,0,Local Comercial,0 años,Venta,Capital Federal,Saavedra,simple
Departamento · 129m² · 4 Ambientes · 1 Cochera,350000,2023-04-13T22:41:37.000Z,239,129,129,4,2,3,Departamento,"45
años",Venta,Capital Federal,Belgrano,superdestacado
Departamento · 42m² · 2 Ambientes,85000,8/6/22,124,42,42,2,1,1,Departamento,"20
años",Venta,Capital Federal,Chacarita,destacado
Fondo de Comercio · 100m²,100000,12/1/22,0,100,0,0,0,0,Fondo de Comercio,"1
años",Venta,Capital Federal,Belgrano,simple
PH · 90m² · 3 Ambientes · 1 Cochera,313,5/17/23,0,120,90,3,1,2,PH,"40
años",Alquiler,Capital Federal,Villa Devoto,simple
Casa · 112m² · 3 Dormitorios,150000,2022-07-27T21:59:29.000Z,29,150,112,0,1,3,Casa,"50
años",Venta,Capital Federal,Mataderos,simple
PH · 75m² · 3 Ambientes,85000,3/1/23,0,75,0,3,2,2,PH,"50
años",Venta,Capital Federal,Flores,simple
Oficina comercial · 160m²,1440,2020-07-03T17:39:50.000Z,0,160,160,0,3,0,Local Comercial,"7
años",Alquiler,Capital Federal,Centro / Microcentro,simple
Departamento · 45m² · 2 Ambientes,70000,3/22/23,0,47,45,2,1,1,Departamento,"52
años",Venta,Capital Federal,Núñez,simple
Departamento · 124m² · 4 Ambientes · 2 Cocheras,745000,2022-07-19T13:40:47.000Z,23,154,124,4,4,3,Departamento,"5
años",Venta,Capital Federal,Belgrano,destacado
Departamento · 54m² · 2 Ambientes,83000,8/18/23,40,59,54,2,1,1,Departamento,,Venta,Capital Federal,Balvanera,simple
Local comercial · 35m²,40000,2023-08-17T19:01:51.000Z,0,35,35,0,0,0,Local Comercial,"50
años",Venta,Capital Federal,San Nicolás,simple
Oficina comercial · 75m² · 3 Ambientes,129900,2021-10-18T21:42:54.000Z,0,76,75,3,1,2,Local Comercial,"90
años",Venta,Capital Federal,San Nicolás,destacado
Oficina comercial · 173m²,413,2023-04-28T21:19:27.000Z,0,173,173,0,2,0,Local Comercial,"40
años",Alquiler,Capital Federal,Retiro,simple
Oficina comercial · 53m²,60000,2022-11-23T15:57:07.000Z,0,53,53,0,2,0,Local Comercial,"60
años",Venta,Capital Federal,Centro / Microcentro,simple
PH · 69m² · 3 Ambientes,139000,2023-05-30T16:00:45.000Z,186,74,69,3,1,2,PH,"12
años",Venta,Capital Federal,Villa Pueyrredón,simple
Departamento · 90m² · 3 Ambientes,600,2022-08-03T19:55:04.000Z,28,90,90,3,1,2,Departamento,,Alquiler Temporal,Capital Federal,Palermo,simple
Local comercial · 1480m²,1897,2022-12-19T17:10:37.000Z,22,1480,1480,0,0,0,Local Comercial,"30
años",Alquiler,Capital Federal,Mataderos,simple
Departamento · 50m² · 3 Ambientes,215000,2023-06-06T17:23:13.000Z,25,74,50,3,1,2,Departamento,"50
años",Venta,Capital Federal,Palermo,superdestacado
Local comercial · 250m²,330000,2023-05-01T12:14:52.000Z,0,250,250,0,0,0,Local Comercial,"40
años",Venta,Capital Federal,Palermo,simple
Departamento · 44m² · 3 Ambientes,110000,2023-08-09T20:34:02.000Z,74,44,44,3,2,2,Departamento,"50
años",Venta,Capital Federal,Palermo,simple
Departamento · 65m² · 3 Ambientes · 1 Cochera,165000,2023-08-09T16:00:38.000Z,142,65,65,3,2,2,Departamento,"40
años",Venta,Capital Federal,Barrio Norte,superdestacado
Departamento · 62m² · 3 Ambientes,120000,2022-10-26T18:12:04.000Z,17,65,62,3,2,2,Departamento,"6
años",Venta,Capital Federal,Flores,simple
Departamento · 40m² · 2 Ambientes,1300,12/8/22,0,45,40,2,1,1,Departamento,"5
años",Alquiler Temporal,Capital Federal,Palermo,simple
Departamento · 110m² · 3 Ambientes,696960,2023-01-13T16:42:43.000Z,0,232,110,3,2,2,Departamento,En construccion,Venta,Capital Federal,Coghlan,destacado
Departamento · 38m² · 2 Ambientes,50000,11/22/22,0,38,38,2,1,1,Departamento,,Venta,Capital Federal,Caballito,simple
Departamento · 80m² · 3 Ambientes,400,9/4/23,114,80,80,3,1,2,Departamento,0 años,Alquiler,Capital Federal,Balvanera,simple
Departamento · 31m² · 2 Ambientes,95000,6/10/22,0,31,31,2,0,1,Departamento,,Venta,Capital Federal,Recoleta,simple
Departamento · 40m² · 2 Ambientes,800,4/12/23,0,47,40,2,1,1,Departamento,"1
años",Alquiler Temporal,Capital Federal,Palermo,simple
Departamento · 78m² · 3 Ambientes,267950,8/19/23,24,117,78,3,3,2,Departamento,En construccion,Venta,Capital Federal,Belgrano,simple
,4600,1/13/20,0,575,575,0,10,0,Local Comercial,"40
años",Alquiler,Capital Federal,Monserrat,superdestacado
,101000,8/2/23,0,33,32,1,1,0,Departamento,0 años,Venta,Capital Federal,Monserrat,simple
,167,8/29/23,51,80,80,0,1,0,Local Comercial,"20
años",Alquiler,Capital Federal,Once,simple
,39000,5/24/23,150,28,28,2,1,1,Departamento,"26
años",Venta,Capital Federal,Balvanera,simple
Departamento · 26m² · 1 Ambiente,49900,2022-12-26T19:25:08.000Z,81,30,26,1,1,0,Departamento,0 años,Venta,Capital Federal,Flores,simple
Local comercial · 48m²,86000,8/3/22,0,48,48,0,2,0,Local Comercial,0 años,Venta,Capital Federal,Villa Urquiza,superdestacado
Departamento · 54m² · 3 Ambientes,69500,7/25/23,26,56,54,3,1,2,Departamento,"50
años",Venta,Capital Federal,Parque Avellaneda,simple
Departamento · 49m² · 2 Ambientes,251228,12/2/21,0,115,49,2,1,1,Departamento,En construccion,Venta,Capital Federal,Palermo,destacado
Departamento · 44m² · 2 Ambientes,700,8/4/23,0,48,44,2,1,1,Departamento,0 años,Alquiler Temporal,Capital Federal,Chacarita,destacado
,132999,8/2/23,0,53,45,2,1,1,Departamento,0 años,Venta,Capital Federal,Villa Urquiza,superdestacado
,450,10/25/22,0,52,50,2,1,1,Departamento,"25
años",Alquiler Temporal,Capital Federal,Caballito,simple
,72000,8/11/23,31,32,32,1,1,0,Departamento,0 años,Venta,Capital Federal,Villa Santa Rita,superdestacado
,390000,6/3/22,32,660,200,0,0,0,Terrenos,"1
años",Venta,Capital Federal,Villa del Parque,superdestacado
,110000,5/30/23,62,64,64,0,1,0,Local Comercial,"29
años",Venta,Capital Federal,Belgrano,simple
,85000,5/30/23,0,42,36,1,1,0,Departamento,0 años,Venta,Capital Federal,Flores,destacado
Departamento · 42m² · 2 Ambientes,92,2022-06-14T21:05:14.000Z,285,42,42,2,1,1,Departamento,0 años,Venta,Capital Federal,Villa del Parque,superdestacado
Departamento · 35m² · 2 Ambientes,75000,2022-11-14T14:55:43.000Z,330,35,35,2,1,1,Departamento,"20
años",Venta,Capital Federal,Barrio Norte,destacado
Departamento · 112m² · 3 Ambientes · 1 Cochera,260000,2/9/23,0,112,112,3,3,2,Departamento,"5
años",Venta,Capital Federal,Caballito,superdestacado
,145000,8/22/23,27,66,57,0,1,1,Departamento,"8
años",Venta,Capital Federal,Barracas,superdestacado
,145500,2/15/23,0,59,47,2,1,1,Departamento,,Venta,Capital Federal,Palermo,destacado
,239000,8/8/23,410,100,100,3,2,2,Departamento,"5
años",Venta,Capital Federal,Núñez,superdestacado
,169000,4/13/23,0,52,52,0,2,0,Local Comercial,"20
años",Venta,Capital Federal,Villa Urquiza,simple
,69000,8/28/23,70,35,32,1,1,0,Departamento,"5
años",Venta,Capital Federal,Caballito,simple
,154800,8/10/23,0,90,47,2,1,1,Departamento,0 años,Venta,Capital Federal,Belgrano,simple
,145000,6/7/22,0,73,67,3,1,2,Departamento,"25
años",Venta,Capital Federal,Floresta,simple
,132300,6/2/22,0,49,42,1,1,0,Departamento,0 años,Venta,Capital Federal,Belgrano,simple
,116500,8/17/23,0,48,42,2,1,1,Departamento,0 años,Venta,Capital Federal,Balvanera,simple
,90000,3/29/23,0,155,65,3,1,2,Departamento,"60
años",Venta,Capital Federal,La Boca,destacado
Local comercial · 320m²,245000,2022-08-23T19:12:10.000Z,19,320,320,0,6,0,Local Comercial,"5
años",Venta,Capital Federal,San Telmo,superdestacado
Departamento · 62m² · 2 Ambientes · 1 Cochera,205000,3/31/23,0,67,62,2,1,1,Departamento,"20
años",Venta,Capital Federal,Palermo,superdestacado
Departamento · 230m² · 6 Ambientes · 1 Cochera,500000,2019-02-20T19:02:56.000Z,99,230,230,6,3,4,Departamento,"65
años",Venta,Capital Federal,Recoleta,superdestacado
"Emprendimiento Estados Unidos en Boedo, Capital Federal, Buenos Aires",150000,8/28/23,193,86,63,3,2,0,Desarrollos inmobiliarios en venta,,Venta,Capital Federal,Almagro,destacado
,68000,6/9/23,0,34,0,1,1,0,Departamento,0 años,Venta,Capital Federal,Flores,superdestacado
,83000,6/30/23,0,35,33,1,1,0,Departamento,"25
años",Venta,Capital Federal,Saavedra,simple
,82000,6/13/23,95,54,53,2,1,1,Departamento,"45
años",Venta,Capital Federal,Almagro,simple
,180000,10/29/20,0,177,177,8,4,0,Local Comercial,"60
años",Venta,Capital Federal,Centro / Microcentro,simple
,250000,3/3/23,140,125,108,4,2,3,Casa,"33
años",Venta,Capital Federal,Coghlan,destacado
Departamento · 48m² · 2 Ambientes,135000,1/18/23,0,56,48,2,1,1,Departamento,0 años,Venta,Capital Federal,Núñez,superdestacado
Local comercial · 110m²,391,2023-07-26T18:03:34.000Z,77,110,110,0,0,0,Local Comercial,0 años,Alquiler,Capital Federal,Tribunales,superdestacado
Departamento · 30m² · 1 Ambiente,310,2023-08-15T05:36:34.000Z,19,30,30,1,1,0,Departamento,"35
años",Alquiler Temporal,Capital Federal,Núñez,simple
,360000,11/28/17,27,126,116,3,2,2,Departamento,"45
años",Venta,Capital Federal,Recoleta,simple
Piso Unico 4 Ambientes Patio Lavadera Quincho y Terraza,93000,8/30/23,0,192,107,4,2,3,PH,"50
años",Venta,Capital Federal,Barracas,simple
"Casa con Piscina, Quincho y Garage Doble.",480000,5/17/23,0,216,275,7,4,4,Casa,"35
años",Venta,Capital Federal,Villa Ortuzar,superdestacado
Departamento de 2 Ambientes - Flores,82000,7/20/23,0,53,53,2,1,1,Departamento,0 años,Venta,Capital Federal,Flores,simple
,88000,8/1/23,0,46,39,1,1,0,Departamento,0 años,Venta,Capital Federal,Villa del Parque,simple
"Juan B Justo 2600, Amplio Departamento Tipo PH 3 Ambientes con Balcón Al Frente, Villa Crespo",99500,6/2/23,0,77,72,3,1,2,PH,"50
años",Venta,Capital Federal,Villa Crespo,destacado
,750,7/3/23,19,96,90,3,1,2,Departamento,"31
años",Alquiler Temporal,Capital Federal,Palermo,simple
,690000,5/29/23,22,470,450,7,5,4,Casa,"31
años",Venta,Capital Federal,Villa Pueyrredón,simple
Departamento · 132m² · 4 Ambientes · 1 Cochera,309000,12/23/22,0,142,132,4,2,3,Departamento,"38
años",Venta,Capital Federal,Palermo,simple
Venta Departamento 4 Ambientes en Palermo con Balcón Corrido y Dependencia,194900,8/31/23,0,109,98,4,1,3,Edificio,"53
años",Venta,Capital Federal,Palermo,simple
Venta PH 3 Ambientes Sin Expensas. Terraza Propia. Villa Urquiza. Entrada Independiente,149000,7/6/23,0,125,70,3,1,2,PH,"40
años",Venta,Capital Federal,Villa Urquiza,simple
Departamento de 1amb Al Frente a Estrenar Escritura Inmediata V. S. Rita*,59900,5/24/23,0,33,28,1,1,0,Departamento,0 años,Venta,Capital Federal,Villa Santa Rita,superdestacado
Arevalo 3000 - 1 Ambiente - Palermo,900,5/9/22,0,40,34,1,1,1,Departamento,"2
años",Alquiler Temporal,Capital Federal,Palermo,simple
Departamento · 92m² · 5 Ambientes,125000,2023-06-13T20:37:06.000Z,0,94,92,5,2,4,Departamento,"45
años",Venta,Capital Federal,Floresta,simple
Departamento · 27m² · 1 Ambiente,51229,2023-08-24T21:15:25.000Z,0,31,27,1,1,0,Departamento,En construccion,Venta,Capital Federal,Agronomía,simple
Departamento · 39m² · 1 Ambiente,182446,2023-06-27T18:32:19.000Z,0,59,39,1,1,0,Departamento,En construccion,Venta,Capital Federal,Palermo,simple
Departamento · 40m² · 2 Ambientes,80000,10/28/22,86,43,40,2,1,1,Departamento,"20
años",Venta,Capital Federal,Almagro,simple
Departamento · 134m² · 4 Ambientes · 1 Cochera,360000,2/12/23,0,155,134,4,3,3,Departamento,"35
años",Venta,Capital Federal,Palermo,simple
2 Amb Amoblado Excelente Zona - Palermo,490,8/28/23,0,45,40,2,1,1,Departamento,"20
años",Alquiler Temporal,Capital Federal,Palermo,superdestacado
,69900,3/8/21,932,43,40,2,1,1,Departamento,"59
años",Venta,Capital Federal,Colegiales,superdestacado
,179000,5/31/21,26,57,43,2,1,1,Departamento,"1
años",Venta,Capital Federal,Villa Urquiza,simple
"Venta Cochera Móvil en Las Heras 2100, Excelente Ubicación - Recoleta",15000,5/8/23,0,12,12,0,0,0,Cochera,"40
años",Venta,Capital Federal,Recoleta,destacado
Venta Depto 4 Ambientes en Congreso,140000,6/23/23,0,83,81,4,2,3,Departamento,"45
años",Venta,Capital Federal,Congreso,superdestacado
Departamento · 43m² · 2 Ambientes,110000,12/23/22,0,56,43,2,1,1,Departamento,0 años,Venta,Capital Federal,Monserrat,destacado
Departamento · 25m² · 1 Ambiente,35000,2023-07-21T02:21:54.000Z,317,25,25,1,1,1,Departamento,"40
años",Venta,Capital Federal,Tribunales,destacado
Departamento · 100m² · 3 Ambientes,165000,2022-04-22T21:20:29.000Z,28,161,100,3,2,2,Departamento,"40
años",Venta,Capital Federal,Núñez,simple
Departamento · 32m² · 2 Ambientes,115000,2021-07-31T18:32:02.000Z,0,32,32,2,1,1,Departamento,0 años,Venta,Capital Federal,Balvanera,simple
Local comercial · 30m² · 1 Ambiente,250,2023-08-27T14:58:04.000Z,44,30,30,1,1,0,Local Comercial,"10
años",Alquiler,Capital Federal,Recoleta,simple
Departamento · 30m² · 1 Ambiente,79900,2023-09-01T19:41:58.000Z,68,33,30,1,1,1,Departamento,"12
años",Venta,Capital Federal,Villa Crespo,superdestacado
En Venta Dúplex 3 Amb Espectacular Vista Coghlan,146000,4/29/21,0,76,73,3,1,2,Departamento,"29
años",Venta,Capital Federal,Coghlan,simple
"Departamento 4 Amb Piscina, Solarium, Gym, Parrilleros, Coworking y Salón de Eventos",813100,11/2/22,0,172,154,4,3,3,Departamento,0 años,Venta,Capital Federal,Caballito,superdestacado
Venta Casa 8 Ambientes Historica Liniers Caba,400000,9/4/23,0,567,567,8,2,7,Casa,"60
años",Venta,Capital Federal,Liniers,destacado
Monoambiente en Chacarita,450,8/3/23,0,25,25,1,1,0,Departamento,"1
años",Alquiler Temporal,Capital Federal,Chacarita,simple
Departamento · 49m² · 2 Ambientes,98000,4/10/23,0,52,49,2,1,1,Departamento,"5
años",Venta,Capital Federal,Parque Chacabuco,simple
Departamento · 90m² · 5 Ambientes,78000,2/23/23,0,94,90,5,1,3,Departamento,0 años,Venta,Capital Federal,Constitución,simple
Departamento · 55m² · 2 Ambientes,134,1/25/21,0,55,55,2,1,1,Departamento,"50
años",Alquiler Temporal,Capital Federal,Recoleta,simple
Departamento · 36m² · 2 Ambientes,63000,4/4/23,0,38,36,2,1,1,Departamento,"50
años",Venta,Capital Federal,San Cristobal,simple
Casa · 131m² · 3 Ambientes,230000,2021-10-20T16:40:43.000Z,55,171,131,3,2,2,Casa,"60
años",Venta,Capital Federal,Caballito,simple
Departamento · 87m² · 3 Ambientes,850,12/30/22,0,90,87,3,2,3,Departamento,"15
años",Alquiler,Capital Federal,Belgrano,free
"Black Libertador 8108 - 2, 3 y 4 Ambientes en Nuñez",251000,2/16/23,261,221,145,4,2,0,Desarrollos inmobiliarios en venta,,Venta,Capital Federal,Núñez,superdestacado
Departamento · 50m² · 2 Ambientes,104113,5/18/23,0,58,50,2,1,1,Departamento,0 años,Venta,Capital Federal,Colegiales,simple
Departamento · 55m² · 3 Ambientes,80000,2022-12-19T21:49:38.000Z,156,55,55,3,1,2,Departamento,"50
años",Venta,Capital Federal,Villa Crespo,superdestacado
